year,month,county,party,registered,source_url
2024,2,PR. GEORGE'S,Other,12464,local://MSR-2024_02.pdf
2024,2,QUEEN ANNE'S,Other,394,local://MSR-2024_02.pdf
2024,2,ST. MARY'S,Other,841,local://MSR-2024_02.pdf
2024,2,SOMERSET,Other,166,local://MSR-2024_02.pdf
2024,2,TALBOT,Other,276,local://MSR-2024_02.pdf
2024,2,WASHINGTON,Other,1167,local://MSR-2024_02.pdf
2024,2,WICOMICO,Other,901,local://MSR-2024_02.pdf
2024,2,WORCESTER,Other,570,local://MSR-2024_02.pdf
2024,3,ALLEGANY,Democratic,10946,local://MSR-2024_03.pdf
2024,3,ANNE ARUNDEL,Democratic,172730,local://MSR-2024_03.pdf
2024,3,BALTIMORE CITY,Democratic,296108,local://MSR-2024_03.pdf
2024,3,BALTIMORE CO.,Democratic,306276,local://MSR-2024_03.pdf
2024,3,CALVERT,Democratic,23477,local://MSR-2024_03.pdf
2024,3,CAROLINE,Democratic,6064,local://MSR-2024_03.pdf
2024,3,CARROLL,Democratic,33173,local://MSR-2024_03.pdf
2024,3,CECIL,Democratic,19520,local://MSR-2024_03.pdf
2024,3,CHARLES,Democratic,74828,local://MSR-2024_03.pdf
2024,3,DORCHESTER,Democratic,9521,local://MSR-2024_03.pdf
2024,3,FREDERICK,Democratic,77554,local://MSR-2024_03.pdf
2024,3,GARRETT,Democratic,3536,local://MSR-2024_03.pdf
2024,3,HARFORD,Democratic,64422,local://MSR-2024_03.pdf
2024,3,HOWARD,Democratic,121196,local://MSR-2024_03.pdf
2024,3,KENT,Democratic,5770,local://MSR-2024_03.pdf
2024,3,MONTGOMERY,Democratic,406206,local://MSR-2024_03.pdf
2024,3,PR. GEORGE'S,Democratic,454311,local://MSR-2024_03.pdf
2024,3,QUEEN ANNE'S,Democratic,11031,local://MSR-2024_03.pdf
2024,3,ST. MARY'S,Democratic,24800,local://MSR-2024_03.pdf
2024,3,SOMERSET,Democratic,5440,local://MSR-2024_03.pdf
2024,3,TALBOT,Democratic,10543,local://MSR-2024_03.pdf
2024,3,WASHINGTON,Democratic,30839,local://MSR-2024_03.pdf
2024,3,WICOMICO,Democratic,26203,local://MSR-2024_03.pdf
2024,3,WORCESTER,Democratic,13601,local://MSR-2024_03.pdf
2024,3,ALLEGANY,Republican,22648,local://MSR-2024_03.pdf
2024,3,ANNE ARUNDEL,Republican,128951,local://MSR-2024_03.pdf
2024,3,BALTIMORE CITY,Republican,28400,local://MSR-2024_03.pdf
2024,3,BALTIMORE CO.,Republican,137055,local://MSR-2024_03.pdf
2024,3,CALVERT,Republican,28049,local://MSR-2024_03.pdf
2024,3,CAROLINE,Republican,10702,local://MSR-2024_03.pdf
2024,3,CARROLL,Republican,63488,local://MSR-2024_03.pdf
2024,3,CECIL,Republican,33771,local://MSR-2024_03.pdf
2024,3,CHARLES,Republican,22962,local://MSR-2024_03.pdf
2024,3,DORCHESTER,Republican,9229,local://MSR-2024_03.pdf
2024,3,FREDERICK,Republican,67917,local://MSR-2024_03.pdf
2024,3,GARRETT,Republican,13710,local://MSR-2024_03.pdf
2024,3,HARFORD,Republican,80499,local://MSR-2024_03.pdf
2024,3,HOWARD,Republican,48131,local://MSR-2024_03.pdf
2024,3,KENT,Republican,5297,local://MSR-2024_03.pdf
2024,3,MONTGOMERY,Republican,97862,local://MSR-2024_03.pdf
2024,3,PR. GEORGE'S,Republican,38492,local://MSR-2024_03.pdf
2024,3,QUEEN ANNE'S,Republican,20046,local://MSR-2024_03.pdf
2024,3,ST. MARY'S,Republican,31918,local://MSR-2024_03.pdf
2024,3,SOMERSET,Republican,6136,local://MSR-2024_03.pdf
2024,3,TALBOT,Republican,11631,local://MSR-2024_03.pdf
2024,3,WASHINGTON,Republican,44200,local://MSR-2024_03.pdf
2024,3,WICOMICO,Republican,23950,local://MSR-2024_03.pdf
2024,3,WORCESTER,Republican,19485,local://MSR-2024_03.pdf
2024,3,ALLEGANY,Green,0,local://MSR-2024_03.pdf
2024,3,ANNE ARUNDEL,Green,16,local://MSR-2024_03.pdf
2024,3,BALTIMORE CITY,Green,26,local://MSR-2024_03.pdf
2024,3,BALTIMORE CO.,Green,33,local://MSR-2024_03.pdf
2024,3,CALVERT,Green,5,local://MSR-2024_03.pdf
2024,3,CAROLINE,Green,1,local://MSR-2024_03.pdf
2024,3,CARROLL,Green,4,local://MSR-2024_03.pdf
2024,3,CECIL,Green,3,local://MSR-2024_03.pdf
2024,3,CHARLES,Green,10,local://MSR-2024_03.pdf
2024,3,DORCHESTER,Green,0,local://MSR-2024_03.pdf
2024,3,FREDERICK,Green,12,local://MSR-2024_03.pdf
2024,3,GARRETT,Green,0,local://MSR-2024_03.pdf
2024,3,HARFORD,Green,5,local://MSR-2024_03.pdf
2024,3,HOWARD,Green,19,local://MSR-2024_03.pdf
2024,3,KENT,Green,0,local://MSR-2024_03.pdf
2024,3,MONTGOMERY,Green,55,local://MSR-2024_03.pdf
2024,3,PR. GEORGE'S,Green,33,local://MSR-2024_03.pdf
2024,3,QUEEN ANNE'S,Green,2,local://MSR-2024_03.pdf
2024,3,ST. MARY'S,Green,6,local://MSR-2024_03.pdf
2024,3,SOMERSET,Green,0,local://MSR-2024_03.pdf
2024,3,TALBOT,Green,0,local://MSR-2024_03.pdf
2024,3,WASHINGTON,Green,2,local://MSR-2024_03.pdf
2024,3,WICOMICO,Green,1,local://MSR-2024_03.pdf
2024,3,WORCESTER,Green,1,local://MSR-2024_03.pdf
2024,3,ALLEGANY,Working Class,261,local://MSR-2024_03.pdf
2024,3,ANNE ARUNDEL,Working Class,2496,local://MSR-2024_03.pdf
2024,3,BALTIMORE CITY,Working Class,1192,local://MSR-2024_03.pdf
2024,3,BALTIMORE CO.,Working Class,2661,local://MSR-2024_03.pdf
2024,3,CALVERT,Working Class,460,local://MSR-2024_03.pdf
2024,3,CAROLINE,Working Class,125,local://MSR-2024_03.pdf
2024,3,CARROLL,Working Class,852,local://MSR-2024_03.pdf
2024,3,CECIL,Working Class,493,local://MSR-2024_03.pdf
2024,3,CHARLES,Working Class,441,local://MSR-2024_03.pdf
2024,3,DORCHESTER,Working Class,115,local://MSR-2024_03.pdf
2024,3,FREDERICK,Working Class,1245,local://MSR-2024_03.pdf
2024,3,GARRETT,Working Class,110,local://MSR-2024_03.pdf
2024,3,HARFORD,Working Class,1254,local://MSR-2024_03.pdf
2024,3,HOWARD,Working Class,965,local://MSR-2024_03.pdf
2024,3,KENT,Working Class,69,local://MSR-2024_03.pdf
2024,3,MONTGOMERY,Working Class,2361,local://MSR-2024_03.pdf
