year,month,county,party,registered,source_url
2025,2,GARRETT,Unaffiliated,3136,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HARFORD,Unaffiliated,46108,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HOWARD,Unaffiliated,64725,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,KENT,Unaffiliated,2851,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,MONTGOMERY,Unaffiliated,177721,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,PR. GEORGE'S,Unaffiliated,105398,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,QUEEN ANNE'S,Unaffiliated,9093,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ST. MARY'S,Unaffiliated,18505,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,SOMERSET,Unaffiliated,2575,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,TALBOT,Unaffiliated,6132,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WASHINGTON,Unaffiliated,24602,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WICOMICO,Unaffiliated,15452,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WORCESTER,Unaffiliated,9305,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,TOTAL,Unaffiliated,944876,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ALLEGANY,Other,786,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ANNE ARUNDEL,Other,6792,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CITY,Other,6638,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,BALTIMORE CO.,Other,10274,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CALVERT,Other,1156,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CAROLINE,Other,373,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CARROLL,Other,2121,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CECIL,Other,1346,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,CHARLES,Other,1700,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,DORCHESTER,Other,391,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,FREDERICK,Other,2971,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,GARRETT,Other,308,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HARFORD,Other,3509,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,HOWARD,Other,3501,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,KENT,Other,215,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,MONTGOMERY,Other,9726,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,PR. GEORGE'S,Other,14254,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,QUEEN ANNE'S,Other,605,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,ST. MARY'S,Other,1294,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,SOMERSET,Other,239,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,TALBOT,Other,456,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WASHINGTON,Other,1706,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WICOMICO,Other,1284,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,WORCESTER,Other,797,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
2025,2,TOTAL,Other,72442,https://elections.maryland.gov/pdf/vrar/2025/MSR-2025_02.pdf
